"","Title","Abstract"
"12","CT-based radiomics for predicting brain metastases as the first failure in patients with curatively resected locally advanced non-small cell lung cancer.","                 Label=""PURPOSE"" NlmCategory=""OBJECTIVE"":Brain metastasis (BM) is the primary first failure pattern in patients with curatively resected locally advanced non-small cell lung cancer (LA-NSCLC). It is not yet possible to accurately predict the occurrence of BM. The purpose of the research is to develop and validate a prediction model of BM-free survival based on radiomics characterising the primary lesions combined with clinical characteristics in patients with curatively resected LA-NSCLC.                 Label=""METHODS"" NlmCategory=""METHODS"":This study consisted of 124 patients with curatively resected stage IIB-IIIB NSCLC in our institution between January 2014 and June 2018. Patients were randomly divided into training and validation cohorts using a 4:1 ratio. Radiomics features were selected from the chest CT images before surgery. A radiomics signature was constructed using the LASSO algorithm based on the training cohort. Clinical model was developed using the Cox proportional hazards model. The clinical, radiomics, and integrated nomograms were constructed. The prediction performance of the models was assessed based on its discrimination, calibration, and clinical utility.                 Label=""RESULTS"" NlmCategory=""RESULTS"":The radiomics signature is significantly associated with BM-free survival in the overall cohort. The discrimination performance of the integrated nomogram, with the C-indexes 0.889 (0.872-0.906, 95 % CI) and 0.853 (0.788-0.918, 95 % CI) in the training and validation cohorts, respectively, is significantly better than the clinical nomogram (p &lt; 0.0001 for the training cohort, p = 0.0008 for the validation cohort). Compared with the radiomics nomogram, the integrated nomogram is also improved to varying degrees, but not apparent in the validation cohort (p = 0.0007 for the training cohort, p = 0.0554 for the validation cohort). The calibration curve and decision curve analysis demonstrated that the integrated nomogram exceeded the clinical or radiomics nomograms in predicting BM-free survival.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":Compared with the clinical or radiomics nomograms, the predictive performance of the integrated nomogram is significantly improved. The integrated nomogram is most suitable for predicting BM-free survival in patients with curatively resected LA-NSCLC. "
"13","Intermediate filaments as effectors of differentiation.","After the initial discovery of intermediate filament (IF)-forming proteins in 1968, a decade would elapse before they were revealed to comprise a diverse group of proteins which undergo tissue-, developmental stage-, differentiation-, and context-dependent regulation. Our appreciation for just how large (n = 70), conserved, complex, and dynamic IF genes and proteins are became even sharper upon completion of the human genome project. While there has been extraordinary progress in understanding the multimodal roles of IFs in cells and tissues, even revealing them as direct causative agents in a broad array of human genetic disorders, the link between individual IFs and cell differentiation has remained elusive. Here, we review evidence that demonstrates a role for IFs in lineage determination, cell differentiation, and tissue homeostasis. A major theme in this review is the function of IFs as sensors and transducers of mechanical forces, intersecting microenvironmental cues and fundamental processes through cellular redox balance."
"14","Artificial intelligence-based image classification methods for diagnosis of skin cancer: Challenges and opportunities.","Recently, there has been great interest in developing Artificial Intelligence (AI) enabled computer-aided diagnostics solutions for the diagnosis of skin cancer. With the increasing incidence of skin cancers, low awareness among a growing population, and a lack of adequate clinical expertise and services, there is an immediate need for AI systems to assist clinicians in this domain. A large number of skin lesion datasets are available publicly, and researchers have developed AI solutions, particularly deep learning algorithms, to distinguish malignant skin lesions from benign lesions in different image modalities such as dermoscopic, clinical, and histopathology images. Despite the various claims of AI systems achieving higher accuracy than dermatologists in the classification of different skin lesions, these AI systems are still in the very early stages of clinical application in terms of being ready to aid clinicians in the diagnosis of skin cancers. In this review, we discuss advancements in the digital image-based AI solutions for the diagnosis of skin cancer, along with some challenges and future opportunities to improve these AI systems to support dermatologists and enhance their ability to diagnose skin cancer."
"15","Discovery of 4-amino-1H-pyrazolo[3,4-d]pyrimidin derivatives as novel discoidin domain receptor 1 (DDR1) inhibitors.","DDR1 is a receptor tyrosine kinase that is activated by triple-helical collagens and has become an attractive target for anticancer therapy given its involvement in tumor growth, metastasis development, and tumor dormancy. Several drugs on the market, such as dasatinib and nilotinib, were reported to potently suppress the function of DDR1 and show significant therapeutic benefits in a variety of preclinical tumor models. Whereas only a few selective DDR1 inhibitors were disclosed in recent years. A series of 4-amino-1H-pyrazolo[3,4-d]pyrimidin derivatives were designed and synthesized. All compounds were evaluated via DDR1 kinase inhibition assay and cell anti-proliferative assay. One of the representative compounds, 6c, suppressed DDR1 kinase activity with an IC50 value of 44 nM and potently inhibited cell proliferation in DDR1-overexpressing cell lines HCT-116 and MDA-MB-231 with IC50 value of 4.00 and 3.36 μM respectively. Further molecular docking study revealed that 6c fitted ideally into DDR1 binding pocket and maintained the crucial hydrogen bonds with DDR1 kinase domain. Overall, these results suggest that the compound 6c is a potential DDR1 inhibitor deserving further investigation for cancer treatment."
"16","Educational inequalities and regional variation in colorectal cancer survival in Finland.","                 Label=""BACKGROUND"" NlmCategory=""BACKGROUND"":Previous studies have reported lower colorectal cancer (CRC) survival in patients with low compared to high educational levels. We investigated the impact of education on CRC survival by using both individual and area-based information on education.                 Label=""METHODS"" NlmCategory=""METHODS"":Patients diagnosed with CRC in Finland in 2007-2016 were followed up for death until the end of 2016. Age-standardized relative survival and relative excess risk of death (RER) were estimated by sex using period approach. RERs were adjusted for age, stage at diagnosis, cancer site, urbanity, hospital district and municipality by using Bayesian piecewise constant excess hazard models. Analyses were conducted including individual (basic, secondary, high) and area-based (quartiles Q1-Q4 based on the proportion of population with basic education) education separately as well as both measures in one model.                 Label=""RESULTS"" NlmCategory=""RESULTS"":We analysed in all 24 462 CRC patients. There was a clear gradient in 5-year relative survival across education groups (men: basic 62 %, secondary 64 %, high 69 %; women: basic 61 %, secondary 67 %, high 71 %). Compared to the basic education group, RER in the high education group was significantly lower. This association was still present after including area-based education in the models (men: RER 0.72, 95 % Confidence interval (CI) 0.64-0.81; women: RER 0.76, 95 % CI 0.59-0.96). Area-based education revealed smaller effect estimates than individual education in CRC survival and no association for men.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":Individual education information should be preferred over area-based when survival differences are studied by education. Educational differences in CRC survival are still present in Finland. "
"17","Impact of low anterior resection syndrome (LARS) on the quality of life and treatment options of LARS - A cross sectional study.","                 Label=""PURPOSE"" NlmCategory=""OBJECTIVE"":The purpose of this study was to assess the relationship between the low anterior resection syndrome (LARS) and quality of life (QOL). Furthermore, in patients with major LARS, therapeutic management options were explored.                 Label=""METHODS"" NlmCategory=""METHODS"":A cohort of surviving patients, who underwent a low anterior resection for rectal cancer after long course of radiochemotherapy, were identified. These patients were treated in Ghent University Hospital between 2006 and 2016. QOL was assessed using the European Organization for Research and Treatment of Cancer Quality Of Life questionnaire-C30 and the bowel function using the LARS-score. The relationship between LARS and QOL was analysed. Patients with major LARS (≥30 points) were contacted to explore their therapeutic management of LARS.                 Label=""RESULTS"" NlmCategory=""RESULTS"":69% of the participants had major LARS. QOL was closely associated with LARS. Significant differences were found between those with and without LARS in the global health status (p ≤ 0.001) and in the following functional scales: physical (p ≤ 0.001), role (p ≤ 0.001), cognitive (p = 0.04) and social (p ≤ 0.001). Patients with major LARS experienced more diarrhea (p ≤ 0.001), fatigue (p = 0.002), insomnia (p ≤ 0.001) and pain (p = 0.02), compared to patient with no/minor LARS. Most patients tried dietary regimens (71%), medication (71%) and incontinence material (63.8%) in an attempt to manage their LARS and found some of them useful. The level of the anastomosis (low) was a significant risk factor for major LARS (p=0.03).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":More than half of the patients in this cohort still suffered from major LARS. Patients confronted with major LARS had a lower QOL than patients with no/minor LARS. Currently, there is no gold standard for the management of LARS. Patients manage it through trial and error. "
"18","The role of empathic nursing telephone interventions with advanced cancer patients: A qualitative study.","                 Label=""PURPOSE"" NlmCategory=""OBJECTIVE"":Effective symptom management and provider-patient communication are critical components of quality palliative cancer care. Studies suggest nurse-telephone-interventions are feasible, acceptable and may improve the provision and satisfaction with care. However, little is known about what specific elements of nurse-telephone-interventions are most beneficial. The study's purpose was to describe the nature and key elements of therapeutic calls made by nurses to advanced cancer patients to understand what may have previously contributed to improvement in patients who received the intervention.                 Label=""METHODS"" NlmCategory=""METHODS"":As part of a larger study on methylphenidate and/or a nurse-telephone-intervention for fatigue in advanced cancer patients from a tertiary hospital, nurse calls were made to 95 patients. This qualitative descriptive study used thematic analysis of transcribed telephone calls between nurses and advanced cancer patients.                 Label=""RESULTS"" NlmCategory=""RESULTS"":The overarching theme of these calls was supporting patients with empathy. Empathy in these conversations included nurses' efforts to understand patients' experiences, nurses communicating their understanding back to patients and nurses taking action in response to their understanding of patients' experiences. While humor and validation were used to communicate empathy, problem solving and providing support constituted the content of empathic communication.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":This study illustrates a nurse-telephone-interventions that embraced multiple components of clinical empathy. Nurse-telephone-interventions are feasible and acceptable with diverse, advanced cancer patients. The growing evidence base underscoring the numerous benefits of medical empathy may serve as a basis for adopting simple, feasible and accessible approaches such as empathic nurse-telephone-interventions in both research and clinical practice. "
"19","A deep learning framework for quality assessment and restoration in video endoscopy.","Endoscopy is a routine imaging technique used for both diagnosis and minimally invasive surgical treatment. Artifacts such as motion blur, bubbles, specular reflections, floating objects and pixel saturation impede the visual interpretation and the automated analysis of endoscopy videos. Given the widespread use of endoscopy in different clinical applications, robust and reliable identification of such artifacts and the automated restoration of corrupted video frames is a fundamental medical imaging problem. Existing state-of-the-art methods only deal with the detection and restoration of selected artifacts. However, typically endoscopy videos contain numerous artifacts which motivates to establish a comprehensive solution. In this paper, a fully automatic framework is proposed that can: 1) detect and classify six different artifacts, 2) segment artifact instances that have indefinable shapes, 3) provide a quality score for each frame, and 4) restore partially corrupted frames. To detect and classify different artifacts, the proposed framework exploits fast, multi-scale and single stage convolution neural network detector. In addition, we use an encoder-decoder model for pixel-wise segmentation of irregular shaped artifacts. A quality score is introduced to assess video frame quality and to predict image restoration success. Generative adversarial networks with carefully chosen regularization and training strategies for discriminator-generator networks are finally used to restore corrupted frames. The detector yields the highest mean average precision (mAP) of 45.7 and 34.7, respectively for 25% and 50% IoU thresholds, and the lowest computational time of 88 ms allowing for near real-time processing. The restoration models for blind deblurring, saturation correction and inpainting demonstrate significant improvements over previous methods. On a set of 10 test videos, an average of 68.7% of video frames successfully passed the quality score (≥0.9) after applying the proposed restoration framework thereby retaining 25% more frames compared to the raw videos. The importance of artifacts detection and their restoration on improved robustness of image analysis methods is also demonstrated in this work."
"20","Cancer evolution: A means by which tumors evade treatment.","Although various methods have been tried to study and treat cancer, the cancer remains a major challenge for human medicine today. One important reason for this is the presence of cancer evolution. Cancer evolution is a process in which tumor cells adapt to the external environment, which can suppress the human immune system's ability to recognize and attack tumors, and also reduce the reproducibility of cancer research. Among them, heterogeneity of the tumor provides intrinsic motivation for this process. Recently, with the development of related technologies such as liquid biopsy, more and more knowledge about cancer evolution has been gained and interest in this topic has also increased. Therefore, starting from the causes of tumorigenesis, this paper introduces several tumorigenesis processes and pathways, as well as treatment options for different targets."
"21","Genome sequences of two multidrug-resistant Escherichia coli strains MEZEC8 and MEZEC10 isolated from livestock in South Africa.","                 Label=""OBJECTIVES"" NlmCategory=""OBJECTIVE"":The emergence of antimicrobial-resistant, livestock-associated Escherichia coli represents a great public health concern. Here, we report the draft genome sequences of two multidrug-resistant, livestock-associated E. coli strains isolated from sheep in South Africa.                 Label=""METHODS"" NlmCategory=""METHODS"":The genomic DNA of E. coli strains MEZEC8 and MEZEC10 was sequenced using an Illumina MiSeq platform. Generated reads were trimmed and de novo assembled. The assembled contigs were analyzed for antimicrobial resistance genes and chromosomal mutations, extra-chromosomal plasmids and multi-locus sequence type (MLST). To compare the strains MEZEC8 and MEZEC10 to other previously sequenced E. coli strains, raw read sequences of E. coli from livestock were downloaded from NCBI's sequence read archive, and all sequence files were treated identically to generate a core genome bootstrapped maximum likelihood phylogenetic tree.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Multidrug resistance genes were detected in both MEZEC8 and MEZEC10 toward tetracycline and macrolides. MEZEC10 harbored two extra-chromosomal plasmids (p0111 and Incl2) while MEZ8 did not contain any extrachromosomal plasmids. MEZEC8 and MEZEC10 serotypes were H25:O9 and H49:O8 respectively, and MEZEC8 belonged to ST58 and MEZEC10 belonged to ST1844.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":The genome sequences of strains MEZEC8 and MEZEC10 will serve as a reference point for molecular epidemiological studies of livestock-associated antibiotic-resistant E. coli in Africa. In addition, this study allows in-depth analysis of genomic structure and will provide valuable information that enable us understand the antimicrobial resistance of livestock associated E. coli. "
"22","A systematic review and meta-analysis of hormone receptor expression in low-grade serous ovarian carcinoma.","                 Label=""OBJECTIVE"" NlmCategory=""OBJECTIVE"":Serous ovarian carcinoma is the most common histological type of ovarian cancer, with high-grade serous ovarian carcinoma (HGSOC) being more common than low-grade serous ovarian carcinoma (LGSOC). Despite pathogenic and clinical differences, both grades of serous ovarian carcinoma share the propensity to express receptors for the female hormones - oestrogen (ERs) and progesterone receptors (PRs) - albeit in differing frequencies.                 Label=""STUDY DESIGN"" NlmCategory=""METHODS"":Systematic review and meta-analysis of studies reporting the expression of hormone receptors in LGSOC, and comparison with expression in HGSOC.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Expression of ERs is observed in 80.7 % of patients with LGSOC [95 % confidence interval (CI) 72.2-89.1 %] and 61.5 % of patients with HGSOC (95 % CI 38.8-84.1 %). Expression of PRs is observed in 54.4 % of patients with LGSOC (95 % CI 44.3-64.4 %) and 30.7 % of patients with HGSOC (95 % CI 15.7-45.7 %).                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":A higher percentage of LGSOCs are positive for ER expression compared with HGSOCs. Similarly, a higher percentage of LGSOCs are positive for PR expression, although PR expression is lower than ER expression. Expression of hormone receptors may represent a therapeutic opportunity for treatment with agents that block their activity, especially in LGSOC which is less responsive to chemotherapy and therapeutic options are limited. "
"23","Prediction of CD28-CD86 protein complex structure using different level of resolution approach.","Immune system plays essential role in functioning of higher organisms. Its hyperactivity can lead to autoimmune diseases or even anaphylactic shock while hypoactivity leads to proneness to infections or even cancer. T-cells play crucial role in immunity mechanisms and their activation and inhibition is strictly controlled by the regulatory proteins, such as CD28 and CTLA-4. Activity of these proteins is controlled by a pair of ligands, named CD80 and CD86, which can non-covalently bound to their receptors. While structure of human CTLA-4-CD86 complex in known, there is still no available structure for the CD28-CD86 system. To obtain the reliable structure of CD28-CD86 complex we first validated our methodology on the CTLA-4-CD86 system. Then coarse-grained UNRES-dock molecular docking simulation was performed followed by all-atom molecular dynamics simulations. As a result, we obtained a complete CD28-CD86 complex structure on atomistic level, in which interaction interface is consistent with available data. We also determined the kinetic properties for CTLA4-CD86 and CD28-CD86 complexes with use of coarse-grained model and determined the key residues for complex formation with use of Robetta, PPCheck and HawkDock servers. Our results not only verify high accuracy of the UNRES-dock method, but also provide a highly reliable model of the CD28-CD86 complex, which can be used in further studies and drug design."
"24","Impact of spherical applicator diameter on relative biologic effectiveness of low energy IORT X-rays: A hybrid Monte Carlo study.","                 Label=""INTRODUCTION"" NlmCategory=""BACKGROUND"":Low-kV IORT (Low kilovoltage intraoperative radiotherapy) using INTRABEAM machine and dedicated spherical applicators is a candidate modality for breast cancer treatment. The current study aims to quantify the RBE (relative biologic effectiveness) variations of emitted X-rays from the surface of different spherical applicators and bare probe through a hybrid Monte Carlo (MC) simulation approach.                 Label=""MATERIALS AND METHODS"" NlmCategory=""METHODS"":A validated MC model of INTRABEAM machine and different applicator diameters, based on GEANT4 Toolkit, was employed for RBE evaluation. To doing so, scored X-ray energy spectra at the surface of each applicator diameter/bare probe were used to calculate the corresponding secondary electron energy spectra at various distances inside the water and breast tissue. Then, MCDS (Monte Carlo damage simulation) code was used to calculate the RBE values according to the calculated electron spectra.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Presence of spherical applicators can increase the RBE of emitted X-rays from the bare probe by about 22.3%. In return, changing the applicator diameter has a minimal impact (about 3.2%) on RBE variation of emitted X-rays from each applicator surface. By increasing the distance from applicator surface, the RBE increments too, so that its value enhances by about 10% with moving from 2 to 10 mm distance. Calculated RBE values within the breast tissue were higher than those of water by about 4% maximum value.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":Ball section of spherical IORT applicators can affect the RBE value of the emitted X-rays from INTRABEAM machine. Increased RBE of breast tissue can reduce the prescribed dose for breast irradiation if INTRABEAM machine has been calibrated inside the water. "
"25","Feasibility of using a commercial collapsed cone dose engine for 1.5T MR-LINAC online independent dose verification.","                 Label=""PURPOSE"" NlmCategory=""OBJECTIVE"":To validate the feasibility and accuracy of commonly used collapsed cone (CC) dose engine for Elekta Unity 1.5T MR-LINAC online independent dose verification.                 Label=""MATERIALS AND METHODS"" NlmCategory=""METHODS"":The Unity beam model was built and commissioned in RayStation treatment planning system with CC dose engine. Four AAPM TG-119 test plans were created and measured with ArcCHECK phantom for comparison, another thirty patient plans from six tumor sites were also included. The dosimetric criteria for various ROIs and 3D gamma passing rates were quantitatively evaluated, and the effects of magnetic field and dose deposition type on the dose difference between two systems were further analyzed.                 Label=""RESULTS"" NlmCategory=""RESULTS"":ArcCHECK based measurement showed a clear magnetic field induced profile shift between CC with both measurement and GPUMCD. For clinical plans, gamma passing rates with criteria (3%, 3 mm) between GPUMCD and CC large than 90% can be achieved for most tumor sites except esophagus and lung cases, the mean dose difference of 3% can be satisfied for most ROIs from all tumor sites. The magnetic field caused a large dose impact on low density areas, the average gamma passing rates were improved from 85.54% to 96.43% and 87.40% to 99.54% for esophagus and lung cases when the magnetic field effect was excluded.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":It is feasible to use CC dose engine as a secondary dose calculation tool for Elekta Unity system for most tumor sites, while the accuracy is limited and should be used carefully for low density areas, such as esophagus and lung cases. "
"26","Four-dimensional carbon-ion pencil beam treatment planning comparison between robust optimization and range-adapted internal target volume for respiratory-gated liver and lung treatment.","We investigated the dose differences between robust optimization-based treatment planning (4DRO) and range-adapted internal target volume (rITV). We used 4DCT dataset of 20 lung cancer and 20 liver cancer patients, respectively, who had been treated with respiratory-gated carbon-ion pencil beam scanning therapy. 4DRO and rITV plans were created with the same clinical target volume (CTV) and organs at risk (OAR) contours. Four-dimensional dose distribution was calculated using deformable image registration. Dose metrics (e.g. D95, V20) were analyzed. Statistical significance was assessed by the Wilcoxon signed-rank test. For the lung cases, the mean CTV-D95 value for the rITV plan (=98.5%) was same as that for the 4DRO plan (=98.5%, P = 0.106), while the mean D95 value for the CTV + setup margin contour for the rITV plan (=98.2%) was higher than that for the 4DRO plan (95.2%, P &lt; 0.001). For the liver cases, the mean CTV-D95 value for the rITV plan (=98.1%) was slightly lower than that for the 4DRO plan (=98.5%, P &lt; 0.01), while the mean D95 value for the CTV + setup margin contour for the rITV plan (=98.0%) was higher than that for the 4DRO plan (94.1%, P &lt; 0.001). For the doses to the organs at risk (OARs), the ipsilateral lung-V20/liver-V20 values for the rITV plan (=10.1%/19.7%) was significantly higher than that for the 4DRO plan (=8.6%/17.6, P &lt; 0.001). Although the target coverage for 4DRO plan may be worse than that for rITV plan in the presence of the setup error, the 4DRO plan can improve OAR dose while preserving acceptable target dose coverage."
"27","The first parent-child diagnosis of a multifocal squamous odontogenic tumor: A case report.","Squamous odontogenic tumors (SOT) are rare, benign, odontogenic neoplasms of the jaws. The sporadically reported cases with multifocal SOTs seem to have a marked predilection for younger African American patients. In this case report a 14-year-old Caucasian male presented with swelling of the vestibular alveolar process, slight tooth divergence, and mobility. A multifocal squamous odontogenic tumor was diagnosed and subsequently treated twice with surgical enucleation. Two and a half years earlier his mother was diagnosed and treated for a similar multifocal SOT. Next-Generation-Sequencing targeted resequencing mutational analysis of the maternal surgical specimens was performed. No potential causal mutation could be identified. Postoperative follow-up of the patient showed no recurrence of the SOT after 2 years. This case report substantiates the possibility of a familial relationship in (multifocal) SOT, possibly changing current ideas concerning the etiology and treatment of these neoplasms."
"28","The role of ERα36 in cell type-specific functions of estrogen and cancer development.","Exploring the regulatory effects of estrogen on different body organs via its receptors is largely of interest. Recently, the expression, signaling and the clinical significance of ERα36, the newly identified isoform of ERα, mediating non-genomic signaling of estrogen, have been studied in a wide range of organs and tumors. ERα36 is expressed highly in the CNS and actively involved in neuroprotection. It is also suggested to be an important estrogen receptor involved in preserving bone in postmenopausal women. On the oncological side, although ERα36 has usually been considered to be an oncogenic molecule, results from some studies paradoxically imply its protective role in certain tumors. Collectively, it seems that ERα36 is highly involved in cell type-specific functions of estrogen through its MAPK/ERK signaling, which is dependent on ERα36 expression levels, ligand concentrations and disease stage. The response is also dependent on the levels of ERα66 and ERβ. These factors influence the ERK kinetic and determine the ultimate mitogenic or antimitogenic signaling of estrogen, leading to cell survival or cell death. In this review, we summarize the recent organ-specific, cellular and molecular events and the mechanisms involved in estrogen effects mediated through the ERα36/ ERα66 with a particular focus on carcinomas where more clinical information has recently emerged."
"29","Cannabis and its Constituents for Cancer: History, Biogenesis, Chemistry and Pharmacological Activities.","Cannabis has long been used for healing and recreation in several regions of the world. Over 400 bioactive constituents, including more than 100 phytocannabinoids, have been isolated from this plant. The non-psychoactive cannabidiol (CBD) and the psychoactive Δ9-tetrahydrocannabinol (Δ9-THC) are the major and widely studied constituents from this plant. Cannabinoids exert their effects through the endocannabinoid system (ECS) that comprises cannabinoid receptors (CB1, CB2), endogenous ligands, and metabolizing enzymes. Several preclinical studies have demonstrated the potential of cannabinoids against leukemia, lymphoma, glioblastoma, and cancers of the breast, colorectum, pancreas, cervix and prostate. Cannabis and its constituents can modulate multiple cancer related pathways such as PKB, AMPK, CAMKK-β, mTOR, PDHK, HIF-1α, and PPAR-γ. Cannabinoids can block cell growth, progression of cell cycle and induce apoptosis selectively in tumour cells. Cannabinoids can also enhance the efficacy of cancer therapeutics. These compounds have been used for the management of anorexia, queasiness, and pain in cancer patients. Cannabinoid based products such as dronabinol, nabilone, nabiximols, and epidyolex are now approved for medical use in cancer patients. Cannabinoids are reported to produce a favourable safety profile. However, psychoactive properties and poor bioavailability limit the use of some cannabinoids. The Academic Institutions across the globe are offering training courses on cannabis. How cannabis and its constituents exert anticancer activities is discussed in this article. We also discuss areas that require attention and more extensive research."
"30","Successful toxicity reduction during delayed intensification in the non-high-risk arm of Malaysia-Singapore Acute Lymphoblastic Leukaemia 2010 study.","In non-high-risk (non-HR) patients, the Malaysia-Singapore Acute Lymphoblastic Leukaemia 2003 (MS2003) study achieved good outcomes. However, its delayed-intensification (DI) phase, comprising repeated blocks of protocol III (2003-PIII), was toxic and caused significant treatment delays. The successor MS2010 study attempted to lower DI toxicity by replacing myelosuppressive drugs (doxorubicin, cytarabine) with vincristine and asparaginase.                 Label=""PATIENTS AND METHODS"" NlmCategory=""METHODS"":We analysed 1748 admissions for fever in 315 Singapore children with non-HR acute lymphoblastic leukaemia (ALL) (MS2003, n = 183; MS2010, n = 132), comprising 76% of the total cohort (n = 413), to study the impact of these changes.                 Label=""RESULTS"" NlmCategory=""RESULTS"":The new 2010-PVa which has no doxorubicin, was associated with significantly fewer hospitalisations due to fever (0.08 versus 0.30 admissions per block [A/blk], p &lt; 0.001), as than 2003-PIIIa. Similarly in 2010-PIIIb and PVb, where one block of cytarabine was replaced by two doses of vincristine, admissions for fever were also fewer (0.47 versus 0.74 A/blk, p &lt; 0.001) than in 2003-PIIIb. However, the addition of single doses of vincristine and asparaginase in 2010-PIIIa, even with a mandatory seven-day rest, led to more hospitalisations (0.45 A/blk, p &lt; 0.001), increased risk of bacteraemia (relative-risk (RR) = 7.66, p = 0.005) and critical-care admissions (RR = 4.31, p = 0.13). Despite this, overall treatment-related mortality decreased from 2.7% to 0.8%. Taken together, the reduced phase delays allowed earlier completion of the intensive phase of treatment (standard risk: 38.1 versus 49.4 weeks, p &lt; 0.001; intermediate risk: 50.9 versus 58.8 weeks, p &lt; 0.001), while maintaining excellent 10-year event-free survival of 95.4% and overall survival of 96.2%.                 Label=""CONCLUSIONS"" NlmCategory=""CONCLUSIONS"":In non-HR ALL, replacing doxorubicin/cytarabine with vincristine/asparaginase during some DI blocks is effective in reducing toxicity without compromising outcomes.                 Label=""CLINICAL TRIAL INFORMATION"" NlmCategory=""BACKGROUND"":NCT0289464. "
"31","Regulation and role of Acyl-CoA synthetase 4 in glial cells.","Acyl-CoA synthetase 4 (Acsl4), an enzyme involved in arachidonic acid (AA) metabolism, participates in physiological and pathological processes such as steroidogenesis and cancer. The role of Acsl4 in neurons and in nervous system development has also been documented but little is known regarding its functionality in glial cells. In turn, several processes in glial cells, including neurosteroidogenesis, stellation and AA uptake, are regulated by cyclic adenosine monophosphate (cAMP) signal. In this context, the aim of this work was to analyze the expression and functional role of Acsl4 in primary rat astrocyte cultures and in the C6 glioma cell line by chemical inhibition and stable silencing, respectively. Results show that Acsl4 expression was regulated by cAMP in both models and that cAMP stimulation of steroidogenic acute regulatory protein mRNA levels was reduced by Acsl4 inhibition or silencing. Also, Acsl4 inhibition reduced progesterone synthesis stimulated by cAMP and also affected cAMP-induced astrocyte stellation, decreasing process elongation and increasing branching complexity. Similar effects were observed for Acsl4 silencing on cAMP-induced C6 cell morphological shift. Moreover, Acsl4 inhibition and silencing reduced proliferation and migration of both cell types. Acsl4 silencing in C6 cells reduced the capacity for colony proliferation and neurosphere formation, the latter ability also being abolished by Acsl4 inhibition. In sum, this work presents novel evidence of Acsl4 involvement in neurosteroidogenesis and the morphological changes of glial cells promoted by cAMP. Furthermore, Acsl4 participates in migration and proliferation, also affecting cell self-renewal. Altogether, these findings provide insights into Acsl4 functions in glial cells."
"32","Causal Attributions and Quality of Life of Korean Breast Cancer Survivors.","                 Label=""PURPOSE"" NlmCategory=""OBJECTIVE"":The purpose of this study was threefold: to explore the causal attributions of breast cancer, examine underlying factors of the attributes, and determine their relationship to quality of life among Korean breast cancer survivors.                 Label=""METHODS"" NlmCategory=""METHODS"":The study used a descriptive correlational design, which included quantitative survey questionnaires and an open-ended question to complement the study. 330 breast cancer survivors were recruited from two university hospitals in South Korea, between January and April 2018. The causal attributions were explored using the Illness Perception Questionnaire Revised (IPQ-R) and an open-ended question. The survivors' quality of life was assessed using the Functional Assessment of Cancer Therapy for Breast Cancer (FACT-B). The quantitative analysis was performed using the SPSS 25.0 software package; the ATLAS.ti 8 software was used for thematic analysis.                 Label=""RESULTS"" NlmCategory=""RESULTS"":Quantitative and qualitative data of 321 and 238 breast cancer survivors, respectively, were analyzed. &quot;Stress and worry&quot; and &quot;diet or eating habits&quot; were believed to be the two most likely causes of breast cancer. Eleven new causal attributes emerged from the analysis. Being diagnosed with breast cancer at an older age (p &lt; .05), having received chemotherapy (p &lt; .05), and holding non-behavioral causal attributes (p &lt; .001), were significantly related to lower quality of life.                 Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"":There were differences between the survivors' beliefs on their causes of disease, and causal factors available from literature. As the survivors' causal attributes were significantly related to their quality of life, healthcare providers should individually assess and incorporate these attributes into their care. "
